mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
339.37,3852615,228.103078,228.103002,-0.075,-0.331,C14 H14 N O2,14,14,1,2,0,15,1.071428571,0.142857143,31,6,1,0.331,2.96533E+11,1.29922E-05,439.2748877,0.5,8,-0.571428571,0.15169985,228,1.668045544,226,0.030803254,228,0.175519032,228,0.155742274,228
-1000,2540910,228.160542,228.160517,-0.025,-0.11,C12 H22 N O3,12,22,1,3,0,23,1.916666667,0.25,27,-1,1,0.11,2.96533E+11,8.56872E-06,439.2748877,-0.052631579,2,-1.166666667,0.094249072,228,1.610977104,226,0.026678008,228,0.233052317,228,0.213270572,228
-1000,2100704,229.071751,229.071762,0.011,0.047,C10 H13 O6,10,13,0,6,0,14,1.4,0.6,22,-2,0,0.047,2.96533E+11,7.08422E-06,439.2748877,0.142857143,4,-0.2,0.184021576,229,1.706807233,227,0.062611528,229,0.144587014,229,0.124726263,229
-1000,2077682,229.098139,229.098251,0.112,0.489,C13 H13 N2 O2,13,13,2,2,0,14,1.076923077,0.153846154,30,6,2,0.489,2.96533E+11,7.00658E-06,439.2748877,0.5,8,-0.307692308,0.157562154,229,1.6805239,227,0.036138067,229,0.171084435,229,0.151221388,229
-1000,3197945,229.10813,229.108147,0.017,0.076,C11 H17 O5,11,17,0,5,0,18,1.636363636,0.454545455,24,-2,0,0.076,2.96533E+11,1.07844E-05,439.2748877,0.058823529,3,-0.727272727,0.147677204,229,1.670704735,227,0.026247872,229,0.180983581,229,0.161119676,229
477.75,2414098,229.14454,229.144533,-0.007,-0.031,C12 H21 O4,12,21,0,4,0,22,1.833333333,0.333333333,26,-2,0,0.031,2.96533E+11,8.14108E-06,439.2748877,0,2,-1.166666667,0.111331833,229,1.634601245,227,0.010116784,229,0.217381149,229,0.197514089,229
-1000,2115627,229.181116,229.180918,-0.198,-0.864,C13 H25 O3,13,25,0,3,0,26,2,0.230769231,28,-2,0,0.864,2.96533E+11,7.13454E-06,439.2748877,-0.043478261,1,-1.538461538,0.07498746,229,1.598498747,227,0.046480441,229,0.253777716,229,0.233907502,229
5.77,74959504,230.082316,230.082267,-0.049,-0.214,C13 H12 N O3,13,12,1,3,0,13,1,0.230769231,29,5,1,0.214,2.96533E+11,0.000252786,439.2748877,0.523809524,8,-0.307692308,0.174644915,230,1.704148042,228,0.052699291,230,0.155413267,230,0.135464905,230
39.16,9972390,230.118633,230.118652,0.019,0.083,C14 H16 N O2,14,16,1,2,0,17,1.214285714,0.142857143,31,5,1,0.083,2.96533E+11,3.36299E-05,439.2748877,0.416666667,7,-0.714285714,0.138300543,230,1.668045544,228,0.016335634,230,0.191809835,230,0.171858318,230
386.91,3322657,231.066265,231.066282,0.017,0.074,C13 H11 O4,13,11,0,4,0,12,0.923076923,0.307692308,28,4,0,0.074,2.96533E+11,1.1205E-05,439.2748877,0.545454545,8,-0.307692308,0.191728675,231,1.727773175,229,0.069261514,231,0.139741099,231,0.119707421,231
-1000,2121051,231.15375,231.153658,-0.091,-0.395,C11 H23 N2 O S,11,23,2,1,1,24,2.181818182,0.090909091,26,0,3,0.395,2.96533E+11,7.15283E-06,439.2748877,-0.333333333,1,-1.272727273,0.10445024,231,1.641075584,229,0.018063231,231,0.227144877,231,0.207103624,231
11.7,35385292,232.097976,232.097917,-0.06,-0.257,C13 H14 N O3,13,14,1,3,0,15,1.153846154,0.230769231,29,4,1,0.257,2.96533E+11,0.00011933,439.2748877,0.428571429,7,-0.461538462,0.161245608,232,1.704148042,230,0.038231671,232,0.17170407,232,0.151580948,232
-1000,4126690,232.134331,232.134302,-0.028,-0.121,C14 H18 N O2,14,18,1,2,0,19,1.357142857,0.142857143,31,4,1,0.121,2.96533E+11,1.39165E-05,439.2748877,0.333333333,6,-0.857142857,0.124901235,232,1.668045544,230,0.001868015,232,0.208100637,232,0.187974361,232
-1000,3156019,233.045475,233.045547,0.072,0.308,C12 H9 O5,12,9,0,5,0,10,0.833333333,0.416666667,26,3,0,0.308,2.96533E+11,1.06431E-05,439.2748877,0.578947368,8,0,0.21467374,233,1.763875673,231,0.091157551,233,0.119635334,233,0.099430052,233
-1000,2555457,233.066634,233.066676,0.043,0.183,C9 H13 O7,9,13,0,7,0,14,1.555555556,0.777777778,20,-4,0,0.183,2.96533E+11,8.61778E-06,439.2748877,-0.090909091,3,0,0.193568333,233,1.742910724,231,0.070040945,233,0.140771051,233,0.120563938,233
209.56,7836235,233.082006,233.081932,-0.073,-0.315,C13 H13 O4,13,13,0,4,0,14,1.076923077,0.307692308,28,3,0,0.315,2.96533E+11,2.64262E-05,439.2748877,0.454545455,7,-0.461538462,0.178329368,233,1.727773175,231,0.054793895,233,0.156031901,233,0.135823465,233
6.81,42046052,233.118308,233.118318,0.01,0.042,C14 H17 O3,14,17,0,3,0,18,1.285714286,0.214285714,30,3,0,0.042,2.96533E+11,0.000141792,439.2748877,0.36,6,-0.857142857,0.141983996,233,1.691669685,231,0.018429239,233,0.192429469,233,0.172217878,233
12.66,27587194,233.154735,233.154703,-0.032,-0.136,C15 H21 O2,15,21,0,2,0,22,1.466666667,0.133333333,32,3,0,0.136,2.96533E+11,9.30324E-05,439.2748877,0.285714286,5,-1.2,0.105639624,233,1.655567187,231,0.017934418,233,0.228826036,233,0.208611291,233
