mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2937023,191.107645,191.107753,0.109,0.569,C12 H15 O2,12,15,0,2,0,16,1.333333333,0.166666667,26,3,0,0.569,1.4779E+11,1.98729E-05,447.7206444,0.363636364,5,-1,0.105639624,191,1.376054375,190,0.004350835,191,0.168508742,191,0.151939509,191
-1000,6978766,191.12876,191.128883,0.122,0.64,C9 H19 O4,9,19,0,4,0,20,2.222222222,0.444444444,20,-4,0,0.64,1.4779E+11,4.72207E-05,447.7206444,-0.285714286,0,-1.333333333,0.084533218,191,1.355088433,190,0.01676677,191,0.189645459,191,0.173074394,191
459.75,2515936,193.050492,193.050632,0.141,0.729,C10 H9 O4,10,9,0,4,0,10,1,0.4,22,2,0,0.729,1.4779E+11,1.70237E-05,447.7206444,0.5,6,-0.2,0.16493006,193,1.448260363,192,0.062611528,193,0.112005409,193,0.095267727,193
-1000,8273400,193.086884,193.087018,0.134,0.695,C11 H13 O3,11,13,0,3,0,14,1.272727273,0.272727273,24,2,0,0.695,1.4779E+11,5.59807E-05,447.7206444,0.368421053,5,-0.727272727,0.128584689,193,1.412156872,192,0.026246872,193,0.148402977,193,0.131662139,193
-1000,2189073,193.123317,193.123403,0.086,0.446,C12 H17 O2,12,17,0,2,0,18,1.5,0.166666667,26,2,0,0.446,1.4779E+11,1.4812E-05,447.7206444,0.272727273,4,-1.166666667,0.092240317,193,1.376054375,192,0.010116784,193,0.184799544,193,0.168055552,193
6.22,23898270,194.082138,194.082267,0.129,0.663,C10 H12 N O3,10,12,1,3,0,13,1.3,0.3,23,2,1,0.663,1.4779E+11,0.000161704,447.7206444,0.333333333,5,-0.4,0.134446993,194,1.424635229,193,0.031581686,194,0.14396838,194,0.127141253,194
175.11,7141186,195.066136,195.066282,0.146,0.749,C10 H11 O4,10,11,0,4,0,12,1.2,0.4,22,1,0,0.749,1.4779E+11,4.83197E-05,447.7206444,0.375,5,-0.4,0.151530753,195,1.448260363,194,0.048143909,195,0.128296212,195,0.11138377,195
-1000,3746139,195.102593,195.102668,0.075,0.385,C11 H15 O3,11,15,0,3,0,16,1.454545455,0.272727273,24,1,0,0.385,1.4779E+11,2.53477E-05,447.7206444,0.263157895,4,-0.909090909,0.115185382,195,1.412156872,194,0.011779253,195,0.164693779,195,0.147778183,195
-1000,4694900,195.138912,195.139053,0.141,0.725,C12 H19 O2,12,19,0,2,0,20,1.666666667,0.166666667,26,1,0,0.725,1.4779E+11,3.17673E-05,447.7206444,0.181818182,3,-1.333333333,0.07884101,195,1.376054375,194,0.024584404,195,0.201090347,195,0.184171596,195
508.71,2335716,196.043888,196.043773,-0.115,-0.585,C9 H10 N O2 S,9,10,1,2,1,11,1.222222222,0.222222222,21,3,2,0.585,1.4779E+11,1.58043E-05,447.7206444,0.333333333,5,-0.222222222,0.175131228,196,1.478358842,195,0.071226305,196,0.106097969,196,0.089100778,196
-1000,10887347,197.081799,197.081932,0.133,0.677,C10 H13 O4,10,13,0,4,0,14,1.4,0.4,22,0,0,0.677,1.4779E+11,7.36675E-05,447.7206444,0.25,4,-0.6,0.138131446,197,1.448260363,196,0.033676289,197,0.144587014,197,0.127499814,197
-1000,5554405,197.154564,197.154703,0.14,0.71,C12 H21 O2,12,21,0,2,0,22,1.833333333,0.166666667,26,0,0,0.71,1.4779E+11,3.7583E-05,447.7206444,0.090909091,2,-1.5,0.065441703,197,1.376054375,196,0.039052023,197,0.217381149,197,0.200287639,197
508.46,5202456,199.061097,199.061197,0.1,0.502,C9 H11 O5,9,11,0,5,0,12,1.333333333,0.555555556,20,-1,0,0.502,1.4779E+11,3.52016E-05,447.7206444,0.230769231,4,-0.222222222,0.161076511,199,1.484362861,198,0.055572327,199,0.124481249,199,0.107222445,199
-1000,5796402,199.097469,199.097583,0.113,0.569,C10 H15 O4,10,15,0,4,0,16,1.6,0.4,22,-1,0,0.569,1.4779E+11,3.92204E-05,447.7206444,0.125,3,-0.8,0.12473114,199,1.44825937,198,0.019207671,199,0.160878817,199,0.143616857,199
-1000,2330707,199.145267,199.145201,-0.065,-0.327,C10 H19 N2 O2,10,19,2,2,0,20,2,0.2,24,0,2,0.327,1.4779E+11,1.57704E-05,447.7206444,-0.142857143,2,-1,0.077166311,199,1.401011088,198,0.028382397,199,0.208511955,199,0.191245867,199
244.74,5344162,201.076743,201.076847,0.104,0.516,C9 H13 O5,9,13,0,5,0,14,1.555555556,0.555555556,20,-2,0,0.516,1.4779E+11,3.61604E-05,447.7206444,0.076923077,3,-0.444444444,0.147677204,201,1.484362861,200,0.041104707,201,0.140772052,201,0.123338488,201
-1000,2293692,201.113095,201.113233,0.137,0.683,C10 H17 O4,10,17,0,4,0,18,1.8,0.4,22,-2,0,0.683,1.4779E+11,1.55199E-05,447.7206444,0,2,-1,0.111331833,201,1.44825937,200,0.004740051,201,0.177169619,201,0.159732901,201
-1000,2558529,202.025659,202.025815,0.155,0.768,C9 H4 N3 O3,9,4,3,3,0,5,0.555555556,0.333333333,23,6,3,0.768,1.4779E+11,1.73119E-05,447.7206444,1,9,1.111111111,0.19976883,202,1.54276288,200,0.092693372,202,0.090041741,202,0.072525901,202
481.74,2459431,203.071256,203.071368,0.112,0.553,C12 H11 O3,12,11,0,3,0,12,1,0.25,26,4,0,0.553,1.4779E+11,1.66414E-05,447.7206444,0.523809524,7,-0.5,0.155383304,203,1.50532781,201,0.047753693,203,0.135927137,203,0.118320646,203
531.39,2259759,203.082512,203.082601,0.089,0.437,C11 H11 N2 O2,11,11,2,2,0,12,1.090909091,0.181818182,26,5,2,0.437,1.4779E+11,1.52903E-05,447.7206444,0.5,7,-0.181818182,0.144162847,203,1.494182026,202,0.036527283,203,0.147163708,203,0.129556244,203
-1000,7083318,203.092365,203.092497,0.133,0.653,C9 H15 O5,9,15,0,5,0,16,1.777777778,0.555555556,20,-3,0,0.653,1.4779E+11,4.79282E-05,447.7206444,-0.076923077,2,-0.666666667,0.134277896,203,1.484362861,202,0.026637088,203,0.157062854,203,0.139454532,203
