mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
44.44,30181278,167.071406,167.071368,-0.038,-0.226,C9 H11 O3,9,11,0,3,0,12,1.333333333,0.333333333,20,1,0,0.226,1.00096E+11,0.000301523,400.2868923,0.333333333,4,-0.666666667,0.115185382,167,1.225814998,166,0.026636088,167,0.12448225,167,0.109996995,167
-1000,1957940,167.107763,167.107753,-0.01,-0.061,C10 H15 O2,10,15,0,2,0,16,1.6,0.2,22,1,0,0.061,1.00096E+11,1.95606E-05,400.2868923,0.222222222,3,-1.2,0.07884101,167,1.1897125,166,0.009727568,167,0.160878817,167,0.146390408,167
571.41,2026951,168.020294,168.020335,0.041,0.244,C9 H2 N3 O,9,2,3,1,0,3,0.333333333,0.111111111,23,9,3,0.244,1.00096E+11,2.025E-05,400.2868923,1.181818182,10,0.888888889,0.167278007,168,1.28421601,167,0.078225752,168,0.073750939,168,0.059183408,168
-1000,12328000,169.087052,169.087018,-0.035,-0.204,C9 H13 O3,9,13,0,3,0,14,1.555555556,0.333333333,20,0,0,0.204,1.00096E+11,0.000123161,400.2868923,0.2,3,-0.888888889,0.101786075,169,1.225814998,168,0.012168469,169,0.140773052,169,0.126113039,169
5.19,28225782,171.066311,171.066282,-0.029,-0.17,C8 H11 O4,8,11,0,4,0,12,1.5,0.5,18,-1,0,0.17,1.00096E+11,0.000281986,400.2868923,0.166666667,3,-0.5,0.124732139,171,1.261918488,170,0.034065505,171,0.120666287,171,0.105834669,171
-1000,6240524,171.102691,171.102668,-0.023,-0.134,C9 H15 O3,9,15,0,3,0,16,1.777777778,0.333333333,20,-1,0,0.134,1.00096E+11,6.23452E-05,400.2868923,0.066666667,2,-1.111111111,0.088386768,171,1.225814998,170,0.002299151,171,0.157063854,171,0.142229082,171
60.1,9923875,171.139094,171.139053,-0.041,-0.239,C10 H19 O2,10,19,0,2,0,20,2,0.2,22,-1,0,0.239,1.00096E+11,9.91433E-05,400.2868923,0,1,-1.6,0.052042395,171,1.1897125,170,0.038662807,171,0.193460422,171,0.178622495,171
-1000,2720861,172.051692,172.051635,-0.057,-0.329,C9 H6 N3 O,9,6,3,1,0,7,0.777777778,0.111111111,23,7,3,0.329,1.00096E+11,2.71825E-05,400.2868923,0.818181818,8,0.444444444,0.140479393,172,1.28421601,171,0.049290514,172,0.106332544,172,0.091415495,172
531.56,2912378,172.097958,172.097917,-0.041,-0.237,C8 H14 N O3,8,14,1,3,0,15,1.875,0.375,19,-1,1,0.237,1.00096E+11,2.90958E-05,400.2868923,-0.090909091,2,-0.75,0.094249072,172,1.238293355,171,0.003035663,172,0.152629257,172,0.137708196,172
523.81,2306735,172.988051,172.988032,-0.019,-0.111,C9 H O4,9,1,0,4,0,2,0.222222222,0.444444444,20,5,0,0.111,1.00096E+11,2.30452E-05,400.2868923,1,9,0.666666667,0.205127982,173,1.355089425,172,0.113442804,173,0.043027237,173,0.028029002,173
11.04,35771884,173.081967,173.081932,-0.035,-0.201,C8 H13 O4,8,13,0,4,0,14,1.75,0.5,18,-2,0,0.201,1.00096E+11,0.000357375,400.2868923,0,2,-0.75,0.111332832,173,1.261918488,172,0.019597886,173,0.136957089,173,0.121950713,173
372.62,2606011,174.001945,174.001909,-0.036,-0.207,C9 H4 N O S,9,4,1,1,1,5,0.555555556,0.111111111,21,7,2,0.207,1.00096E+11,2.60351E-05,400.2868923,0.846153846,8,0.222222222,0.192383086,174,1.349084414,173,0.100160545,174,0.057226562,174,0.042140423,174
-1000,3255033,175.076487,175.076453,-0.034,-0.191,C11 H11 O2,11,11,0,2,0,12,1.090909091,0.181818182,24,4,0,0.191,1.00096E+11,3.2519E-05,400.2868923,0.5,6,-0.727272727,0.119038931,175,1.282883437,174,0.026246872,175,0.132112174,175,0.116932871,175
-1000,6169634,177.055715,177.055718,0.003,0.017,C10 H9 O3,10,9,0,3,0,10,1,0.3,22,3,0,0.017,1.00096E+11,6.1637E-05,400.2868923,0.529411765,6,-0.4,0.141983996,177,1.318985935,176,0.048142909,177,0.11200641,177,0.096655502,177
-1000,3641915,177.092137,177.092103,-0.033,-0.189,C11 H13 O2,11,13,0,2,0,14,1.272727273,0.181818182,24,3,0,0.189,1.00096E+11,3.63841E-05,400.2868923,0.4,5,-0.909090909,0.105639624,177,1.282883437,176,0.011779253,177,0.148402977,177,0.133048915,177
-1000,2415281,178.017933,178.017952,0.019,0.109,C5 H8 N O4 S,5,8,1,4,1,9,1.8,0.8,13,-2,2,0.109,1.00096E+11,2.41296E-05,400.2868923,-2,2,0.8,0.180824436,178,1.364222955,177,0.086473356,178,0.074546317,178,0.059111982,178
-1000,10078573,179.035024,179.034982,-0.042,-0.233,C9 H7 O4,9,7,0,4,0,8,0.888888889,0.444444444,20,2,0,0.233,1.00096E+11,0.000100689,400.2868923,0.571428571,6,0,0.16493006,179,1.355089425,178,0.070039946,179,0.091899644,179,0.076377133,179
-1000,2038392,179.050372,179.050238,-0.134,-0.748,C13 H7 O,13,7,0,1,0,8,0.615384615,0.076923077,28,9,0,0.748,1.00096E+11,2.03643E-05,400.2868923,0.76,10,-0.461538462,0.149691095,179,1.339951877,178,0.054792895,179,0.107160494,179,0.09163666,179
10.34,20571526,179.071397,179.071368,-0.029,-0.163,C10 H11 O3,10,11,0,3,0,12,1.2,0.3,22,2,0,0.163,1.00096E+11,0.000205517,400.2868923,0.411764706,5,-0.6,0.128584689,179,1.318985935,178,0.03367529,179,0.128297212,179,0.112771545,179
-1000,3250213,180.033656,180.033603,-0.053,-0.295,C5 H10 N O4 S,5,10,1,4,1,11,2.2,0.8,13,-3,2,0.295,1.00096E+11,3.24709E-05,400.2868923,-3,1,0.4,0.167424129,180,1.364221963,179,0.072004737,180,0.090838119,180,0.075229026,180
350.14,2740796,180.066659,180.066617,-0.042,-0.232,C9 H10 N O3,9,10,1,3,0,11,1.222222222,0.333333333,21,2,1,0.232,1.00096E+11,2.73816E-05,400.2868923,0.384615385,5,-0.222222222,0.134446993,180,1.331464292,179,0.039010103,180,0.123862615,180,0.108250659,180
