mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
319.38,2777801,198.113461,198.113567,0.106,0.537,C10 H16 N O3,10,16,1,3,0,17,1.7,0.3,23,0,1,0.537,1.14141E+11,2.43366E-05,395.0801264,0.066666667,3,-0.8,0.107648379,198,1.424635229,197,0.002646447,198,0.176549985,198,0.159373341,198
-1000,2923525,198.186241,198.186338,0.097,0.489,C12 H24 N O,12,24,1,1,0,25,2.083333333,0.083333333,27,0,1,0.489,1.14141E+11,2.56133E-05,395.0801264,-0.047619048,1,-1.666666667,0.034958636,198,1.352429241,197,0.070081866,198,0.24934412,198,0.232161166,198
628.44,8965086,199.061118,199.061197,0.079,0.397,C9 H11 O5,9,11,0,5,0,12,1.333333333,0.555555556,20,-1,0,0.397,1.14141E+11,7.85439E-05,395.0801264,0.230769231,4,-0.222222222,0.161076511,199,1.484362861,198,0.055572327,199,0.124481249,199,0.107222445,199
-1000,14060540,199.097523,199.097583,0.06,0.301,C10 H15 O4,10,15,0,4,0,16,1.6,0.4,22,-1,0,0.301,1.14141E+11,0.000123186,395.0801264,0.125,3,-0.8,0.12473114,199,1.44825937,198,0.019207671,199,0.160878817,199,0.143616857,199
197.84,6508571,199.133884,199.133968,0.084,0.42,C11 H19 O3,11,19,0,3,0,20,1.818181818,0.272727273,24,-1,0,0.42,1.14141E+11,5.70222E-05,395.0801264,0.052631579,2,-1.272727273,0.088386768,199,1.412156872,198,0.017155986,199,0.197275384,199,0.18001027,199
31.25,24220730,199.170274,199.170354,0.08,0.399,C12 H23 O2,12,23,0,2,0,24,2,0.166666667,26,-1,0,0.399,1.14141E+11,0.0002122,395.0801264,0,1,-1.666666667,0.052041397,199,1.376053382,198,0.053520642,199,0.233672952,199,0.216404683,199
399.54,2088915,199.966105,199.965917,-0.188,-0.942,C6 H2 N O5 S,6,2,1,5,1,3,0.5,0.833333333,15,1,2,0.942,1.14141E+11,1.83012E-05,395.0801264,1,6,2,0.257366729,200,1.586667328,198,0.151383035,200,0.029488872,200,0.012151627,200
498.55,2405181,200.092718,200.092832,0.113,0.565,C9 H14 N O4,9,14,1,4,0,15,1.666666667,0.444444444,21,-1,1,0.565,1.14141E+11,2.1072E-05,395.0801264,0,3,-0.444444444,0.130593444,200,1.460737727,199,0.024542484,200,0.15644422,200,0.139095971,200
653.45,3200842,200.108017,200.108088,0.071,0.353,C13 H14 N O,13,14,1,1,0,15,1.153846154,0.076923077,29,6,1,0.353,1.14141E+11,2.80429E-05,395.0801264,0.47826087,7,-0.769230769,0.115354479,200,1.445600179,199,0.009295433,200,0.17170507,200,0.154355499,200
-1000,2414684,200.129249,200.129217,-0.032,-0.16,C10 H18 N O3,10,18,1,3,0,19,1.9,0.3,23,-1,1,0.16,1.14141E+11,2.11553E-05,395.0801264,-0.066666667,2,-1,0.094249072,200,1.424635229,199,0.011821173,200,0.192840787,200,0.175489384,200
