mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2023736,183.045075,183.045153,0.078,0.424,C12 H7 O2,12,7,0,2,0,8,0.666666667,0.166666667,26,7,0,0.424,64085543474,3.15787E-05,373.6465182,0.727272727,9,-0.333333333,0.159236853,183,1.376054375,182,0.062221313,183,0.103345532,183,0.087475334,183
-1000,7828039,183.066457,183.066282,-0.175,-0.954,C9 H11 O4,9,11,0,4,0,12,1.333333333,0.444444444,20,0,0,0.954,64085543474,0.00012215,373.6465182,0.285714286,4,-0.444444444,0.138131446,183,1.355089425,182,0.041104707,183,0.124481249,183,0.10860922,183
-1000,4318303,183.102843,183.102668,-0.175,-0.958,C10 H15 O3,10,15,0,3,0,16,1.6,0.3,22,0,0,0.958,64085543474,6.73834E-05,373.6465182,0.176470588,3,-1,0.101786075,183,1.318985935,182,0.004740051,183,0.160878817,183,0.145003633,183
-1000,6659704,183.139233,183.139053,-0.18,-0.982,C11 H19 O2,11,19,0,2,0,20,1.818181818,0.181818182,24,0,0,0.982,64085543474,0.000103919,373.6465182,0.1,2,-1.454545455,0.065441703,183,1.282883437,182,0.031623605,183,0.197275384,183,0.181397045,183
5.01,172949424,185.082106,185.081932,-0.174,-0.939,C9 H13 O4,9,13,0,4,0,14,1.555555556,0.444444444,20,-1,0,0.939,64085543474,0.002698728,373.6465182,0.142857143,3,-0.666666667,0.124732139,185,1.355089425,184,0.026637088,185,0.140772052,185,0.124725263,185
455.68,3248581,185.118507,185.118318,-0.189,-1.022,C10 H17 O3,10,17,0,3,0,18,1.8,0.3,22,-1,0,1.022,64085543474,5.06913E-05,373.6465182,0.058823529,2,-1.2,0.088386768,185,1.318985935,184,0.009727568,185,0.177169619,185,0.161119676,185
59.02,19021790,185.154873,185.154703,-0.17,-0.915,C11 H21 O2,11,21,0,2,0,22,2,0.181818182,24,-1,0,0.915,64085543474,0.000296819,373.6465182,0,1,-1.636363636,0.052042395,185,1.282883437,184,0.046091225,185,0.213566187,185,0.197513089,185
675.57,7579244,186.092616,186.092438,-0.178,-0.957,C12 H12 N O,12,12,1,1,0,13,1.083333333,0.083333333,27,6,1,0.957,64085543474,0.000118268,373.6465182,0.523809524,7,-0.666666667,0.115354479,186,1.352429241,185,0.016723851,186,0.151599305,186,0.135464905,186
67.82,19235450,186.113741,186.113567,-0.174,-0.937,C9 H16 N O3,9,16,1,3,0,17,1.888888889,0.333333333,21,-1,1,0.937,64085543474,0.000300153,373.6465182,-0.076923077,2,-0.888888889,0.094249072,186,1.331464292,185,0.004392755,186,0.172735022,186,0.15659879,186
463.69,2505773,186.186183,186.186338,0.155,0.833,C11 H24 N O,11,24,1,1,0,25,2.272727273,0.090909091,25,-1,1,0.833,64085543474,3.91004E-05,373.6465182,-0.157894737,0,-1.818181818,0.021559328,186,1.259258304,185,0.077121068,186,0.245529157,186,0.229386616,186
-1000,2212079,187.007217,187.007053,-0.164,-0.875,C7 H7 O4 S,7,7,0,4,1,8,1.142857143,0.571428571,16,0,1,0.875,64085543474,3.45176E-05,373.6465182,0.25,4,0.285714286,0.201760746,187,1.444915536,186,0.102645364,187,0.066505074,187,0.050291375,187
-1000,3252501,187.061346,187.061197,-0.149,-0.798,C8 H11 O5,8,11,0,5,0,12,1.5,0.625,18,-2,0,0.798,64085543474,5.07525E-05,373.6465182,0.090909091,3,-0.25,0.147677204,187,1.391191923,186,0.048533125,187,0.120666287,187,0.104447894,187
176.18,7614752,187.076611,187.076453,-0.158,-0.842,C12 H11 O2,12,11,0,2,0,12,1,0.166666667,26,5,0,0.842,64085543474,0.000118822,373.6465182,0.545454545,7,-0.666666667,0.132438239,187,1.376054375,186,0.033286074,187,0.135927137,187,0.119707421,187
17.57,33412398,187.097751,187.097583,-0.169,-0.901,C9 H15 O4,9,15,0,4,0,16,1.777777778,0.444444444,20,-2,0,0.901,64085543474,0.000521372,373.6465182,0,2,-0.888888889,0.111331833,187,1.355088433,186,0.012168469,187,0.157063854,187,0.140842307,187
-1000,4867401,187.134122,187.133968,-0.154,-0.821,C10 H19 O3,10,19,0,3,0,20,2,0.3,22,-2,0,0.821,64085543474,7.59516E-05,373.6465182,-0.058823529,1,-1.4,0.07498746,187,1.318985935,186,0.024195188,187,0.193460422,187,0.17723572,187
6.35,30091234,188.071867,188.071702,-0.165,-0.875,C11 H10 N O2,11,10,1,2,0,11,1,0.181818182,25,5,1,0.875,64085543474,0.000469548,373.6465182,0.555555556,7,-0.363636364,0.138300543,188,1.388532731,187,0.038620887,188,0.13149254,188,0.115186536,188
-1000,4621309,188.108232,188.108088,-0.145,-0.77,C12 H14 N O,12,14,1,1,0,15,1.25,0.083333333,27,5,1,0.77,64085543474,7.21116E-05,373.6465182,0.428571429,6,-0.833333333,0.101955172,188,1.352429241,187,0.002256231,188,0.167890108,188,0.151580948,188
-1000,2380709,189.05583,189.055718,-0.112,-0.594,C11 H9 O3,11,9,0,3,0,10,0.909090909,0.272727273,24,4,0,0.594,64085543474,3.71489E-05,373.6465182,0.578947368,7,-0.363636364,0.155383304,189,1.412156872,188,0.055182111,189,0.115821372,189,0.099430052,189
-1000,2264244,189.076698,189.076847,0.149,0.788,C8 H13 O5,8,13,0,5,0,14,1.75,0.625,18,-3,0,0.788,64085543474,3.53316E-05,373.6465182,-0.090909091,2,-0.5,0.134277896,189,1.391191923,188,0.034065505,189,0.136957089,189,0.120563938,189
-1000,3182772,189.077044,189.076847,-0.196,-1.039,C8 H13 O5,8,13,0,5,0,14,1.75,0.625,18,-3,0,1.039,64085543474,4.96644E-05,373.6465182,-0.090909091,2,-0.5,0.134277896,189,1.391191923,188,0.034065505,189,0.136957089,189,0.120563938,189
-1000,3428031,189.092263,189.092103,-0.16,-0.846,C12 H13 O2,12,13,0,2,0,14,1.166666667,0.166666667,26,4,0,0.846,64085543474,5.34915E-05,373.6465182,0.454545455,6,-0.833333333,0.119038931,189,1.376054375,188,0.018818455,189,0.152217939,189,0.135823465,189
