mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,3635327,197.045501,197.045547,0.046,0.236,C9 H9 O5,9,9,0,5,0,10,1.111111111,0.555555556,20,0,0,0.236,1.52799E+11,2.37915E-05,432.7782779,0.384615385,5,0,0.174475818,197,1.484362861,196,0.070039946,197,0.108190447,197,0.091106401,197
4.75,19603610,197.081898,197.081932,0.034,0.173,C10 H13 O4,10,13,0,4,0,14,1.4,0.4,22,0,0,0.173,1.52799E+11,0.000128296,432.7782779,0.25,4,-0.6,0.138131446,197,1.448260363,196,0.033676289,197,0.144587014,197,0.127499814,197
284.35,4894899,197.118311,197.118318,0.007,0.036,C11 H17 O3,11,17,0,3,0,18,1.636363636,0.272727273,24,0,0,0.036,1.52799E+11,3.20348E-05,432.7782779,0.157894737,3,-1.090909091,0.101786075,197,1.412156872,196,0.002688367,197,0.180984582,197,0.163894227,197
325.29,3699405,197.154653,197.154703,0.05,0.256,C12 H21 O2,12,21,0,2,0,22,1.833333333,0.166666667,26,0,0,0.256,1.52799E+11,2.42108E-05,432.7782779,0.090909091,2,-1.5,0.065441703,197,1.376054375,196,0.039052023,197,0.217381149,197,0.200287639,197
-1000,2132316,198.077159,198.077181,0.023,0.114,C9 H12 N O4,9,12,1,4,0,13,1.444444444,0.444444444,21,0,1,0.114,1.52799E+11,1.3955E-05,432.7782779,0.166666667,4,-0.222222222,0.14399375,198,1.46073872,197,0.039011103,198,0.140152417,198,0.122978928,198
367.2,13266459,199.061157,199.061197,0.04,0.202,C9 H11 O5,9,11,0,5,0,12,1.333333333,0.555555556,20,-1,0,0.202,1.52799E+11,8.68227E-05,432.7782779,0.230769231,4,-0.222222222,0.161076511,199,1.484362861,198,0.055572327,199,0.124481249,199,0.107222445,199
76.87,15953461,199.097542,199.097583,0.041,0.203,C10 H15 O4,10,15,0,4,0,16,1.6,0.4,22,-1,0,0.203,1.52799E+11,0.000104408,432.7782779,0.125,3,-0.8,0.12473114,199,1.44825937,198,0.019207671,199,0.160878817,199,0.143616857,199
-1000,5791311,199.133916,199.133968,0.052,0.261,C11 H19 O3,11,19,0,3,0,20,1.818181818,0.272727273,24,-1,0,0.261,1.52799E+11,3.79014E-05,432.7782779,0.052631579,2,-1.272727273,0.088386768,199,1.412156872,198,0.017155986,199,0.197275384,199,0.18001027,199
732.15,2309546,201.040494,201.040462,-0.032,-0.16,C8 H9 O6,8,9,0,6,0,10,1.25,0.75,18,-2,0,0.16,1.52799E+11,1.51149E-05,432.7782779,0.2,4,0.25,0.184021576,201,1.520465359,199,0.077468364,201,0.104375484,201,0.086945075,201
-1000,15162308,201.076813,201.076847,0.034,0.17,C9 H13 O5,9,13,0,5,0,14,1.555555556,0.555555556,20,-2,0,0.17,1.52799E+11,9.92301E-05,432.7782779,0.076923077,3,-0.444444444,0.147677204,201,1.484362861,200,0.041104707,201,0.140772052,201,0.123338488,201
-1000,15928286,201.113198,201.113233,0.034,0.171,C10 H17 O4,10,17,0,4,0,18,1.8,0.4,22,-2,0,0.171,1.52799E+11,0.000104243,432.7782779,0,2,-1,0.111331833,201,1.44825937,200,0.004740051,201,0.177169619,201,0.159732901,201
-1000,4033529,201.149559,201.149618,0.059,0.291,C11 H21 O3,11,21,0,3,0,22,2,0.272727273,24,-2,0,0.291,1.52799E+11,2.63975E-05,432.7782779,-0.052631579,1,-1.454545455,0.07498746,201,1.412156872,200,0.031623605,201,0.213566187,201,0.196126314,201
386.29,3466373,202.050911,202.050967,0.056,0.277,C11 H8 N O3,11,8,1,3,0,9,0.818181818,0.272727273,25,5,1,0.277,1.52799E+11,2.26858E-05,432.7782779,0.647058824,8,0,0.174644915,202,1.517806167,200,0.067556126,202,0.115201738,202,0.097683717,202
-1000,3345744,203.034933,203.034982,0.049,0.243,C11 H7 O4,11,7,0,4,0,8,0.727272727,0.363636364,24,4,0,0.243,1.52799E+11,2.18963E-05,432.7782779,0.666666667,8,0,0.191728675,203,1.5414313,201,0.084118349,203,0.099529569,203,0.081926233,203
-1000,3090271,203.05609,203.056112,0.021,0.104,C8 H11 O6,8,11,0,6,0,12,1.5,0.75,18,-3,0,0.104,1.52799E+11,2.02244E-05,432.7782779,0,3,0,0.170622269,203,1.520465359,201,0.063000744,203,0.120666287,203,0.103061119,203
-1000,3823978,203.071319,203.071368,0.048,0.238,C12 H11 O3,12,11,0,3,0,12,1,0.25,26,4,0,0.238,1.52799E+11,2.50261E-05,432.7782779,0.523809524,7,-0.5,0.155383304,203,1.50532781,201,0.047753693,203,0.135927137,203,0.118320646,203
-1000,7519610,203.092456,203.092497,0.041,0.202,C9 H15 O5,9,15,0,5,0,16,1.777777778,0.555555556,20,-3,0,0.202,1.52799E+11,4.92123E-05,432.7782779,-0.076923077,2,-0.666666667,0.134277896,203,1.484362861,202,0.026637088,203,0.157062854,203,0.139454532,203
-1000,2524549,203.107634,203.107753,0.12,0.589,C13 H15 O2,13,15,0,2,0,16,1.230769231,0.153846154,28,4,0,0.589,1.52799E+11,1.6522E-05,432.7782779,0.416666667,6,-0.923076923,0.119038931,203,1.469225312,202,0.011390037,203,0.172323704,203,0.154714059,203
192.81,5334420,203.128875,203.128883,0.008,0.037,C10 H19 O4,10,19,0,4,0,20,2,0.4,22,-3,0,0.037,1.52799E+11,3.49112E-05,432.7782779,-0.125,1,-1.2,0.097932525,203,1.44825937,202,0.009727568,203,0.193460422,203,0.175848945,203
-1000,2166175,203.14407,203.144139,0.069,0.341,C14 H19 O,14,19,0,1,0,20,1.428571429,0.071428571,30,4,0,0.341,1.52799E+11,1.41766E-05,432.7782779,0.333333333,5,-1.285714286,0.08269356,203,1.433121822,202,0.024974619,203,0.208721272,203,0.191108472,203
-1000,2413093,204.03014,204.030231,0.091,0.448,C10 H6 N O4,10,6,1,4,0,7,0.7,0.4,23,4,1,0.448,1.52799E+11,1.57925E-05,432.7782779,0.714285714,8,0.4,0.197590979,204,1.553909657,202,0.089453163,204,0.095094972,204,0.077405347,204
326.32,2688575,204.066558,204.066617,0.058,0.286,C11 H10 N O3,11,10,1,3,0,11,1,0.272727273,25,4,1,0.286,1.52799E+11,1.75954E-05,432.7782779,0.529411765,7,-0.181818182,0.161245608,204,1.517806167,202,0.053088507,204,0.13149254,204,0.11379976,204
310.41,4104436,205.014175,205.014247,0.072,0.352,C10 H5 O5,10,5,0,5,0,6,0.6,0.5,22,3,0,0.352,1.52799E+11,2.68616E-05,432.7782779,0.733333333,8,0.4,0.21467374,205,1.577533798,203,0.106014387,205,0.079423804,205,0.061648864,205
-1000,7737103,205.050608,205.050632,0.024,0.117,C11 H9 O4,11,9,0,4,0,10,0.909090909,0.363636364,24,3,0,0.117,1.52799E+11,5.06357E-05,432.7782779,0.555555556,7,-0.181818182,0.178329368,205,1.5414313,203,0.06965073,205,0.115820372,205,0.098042277,205
-1000,6930218,205.086984,205.087018,0.034,0.166,C12 H13 O3,12,13,0,3,0,14,1.166666667,0.25,26,3,0,0.166,1.52799E+11,4.5355E-05,432.7782779,0.428571429,6,-0.666666667,0.141983996,205,1.50532781,203,0.033286074,205,0.152217939,205,0.13443669,205
12.87,48174904,205.108109,205.108147,0.038,0.187,C9 H17 O5,9,17,0,5,0,18,2,0.555555556,20,-4,0,0.187,1.52799E+11,0.000315282,432.7782779,-0.230769231,1,-0.888888889,0.120878589,205,1.484362861,204,0.012169468,205,0.173353656,205,0.155570575,205
-1000,4795204,205.123362,205.123403,0.041,0.2,C13 H17 O2,13,17,0,2,0,18,1.384615385,0.153846154,28,3,0,0.2,1.52799E+11,3.13823E-05,432.7782779,0.333333333,5,-1.076923077,0.105639624,205,1.469225312,204,0.003077583,205,0.188614507,205,0.170830103,205
-1000,2955753,206.045817,206.045881,0.064,0.311,C10 H8 N O4,10,8,1,4,0,9,0.9,0.4,23,3,1,0.311,1.52799E+11,1.9344E-05,432.7782779,0.571428571,7,0.2,0.184191671,206,1.553909657,204,0.074985543,206,0.111385775,206,0.093521391,206
-1000,8494255,207.012069,207.012139,0.07,0.34,C10 H7 O3 S,10,7,0,3,1,8,0.8,0.3,22,4,1,0.34,1.52799E+11,5.55909E-05,432.7782779,0.6,7,0,0.219012604,207,1.595153921,205,0.10929435,207,0.077950961,207,0.060002802,207
-1000,9934012,207.029858,207.029897,0.039,0.19,C10 H7 O5,10,7,0,5,0,8,0.8,0.5,22,2,0,0.19,1.52799E+11,6.50134E-05,432.7782779,0.6,7,0.2,0.201274433,207,1.577533798,205,0.091546767,207,0.095714607,207,0.077764908,207
169.69,8404183,207.066254,207.066282,0.029,0.139,C11 H11 O4,11,11,0,4,0,12,1.090909091,0.363636364,24,2,0,0.139,1.52799E+11,5.50014E-05,432.7782779,0.444444444,6,-0.363636364,0.16493006,207,1.5414313,205,0.055183111,207,0.132111174,207,0.114158321,207
-1000,10331377,207.102639,207.102668,0.029,0.141,C12 H15 O3,12,15,0,3,0,16,1.333333333,0.25,26,2,0,0.141,1.52799E+11,6.76139E-05,432.7782779,0.333333333,5,-0.833333333,0.128584689,207,1.50532781,205,0.018818455,207,0.168508742,207,0.150552733,207
62.29,11236620,207.139006,207.139053,0.047,0.228,C13 H19 O2,13,19,0,2,0,20,1.538461538,0.153846154,28,2,0,0.228,1.52799E+11,7.35383E-05,432.7782779,0.25,4,-1.230769231,0.092240317,207,1.469225312,206,0.017545202,207,0.204905309,207,0.186946146,207
-1000,2779545,208.02522,208.025146,-0.074,-0.354,C9 H6 N O5,9,6,1,5,0,7,0.777777778,0.555555556,21,2,1,0.354,1.52799E+11,1.81908E-05,432.7782779,0.636363636,7,0.666666667,0.207136736,208,1.590012155,206,0.09688158,208,0.09128001,208,0.073244022,208
