mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
597.12,12595157,186.092595,186.092438,-0.158,-0.848,C12 H12 N O,12,12,1,1,0,13,1.083333333,0.083333333,27,6,1,0.848,1.12646E+11,0.000111812,387.3204028,0.523809524,7,-0.666666667,0.115354479,186,1.352429241,185,0.016723851,186,0.151599305,186,0.135464905,186
75.58,16865252,186.113725,186.113567,-0.158,-0.849,C9 H16 N O3,9,16,1,3,0,17,1.888888889,0.333333333,21,-1,1,0.849,1.12646E+11,0.000149719,387.3204028,-0.076923077,2,-0.888888889,0.094249072,186,1.331464292,185,0.004392755,186,0.172735022,186,0.15659879,186
-1000,2443422,187.061306,187.061197,-0.109,-0.581,C8 H11 O5,8,11,0,5,0,12,1.5,0.625,18,-2,0,0.581,1.12646E+11,2.16912E-05,387.3204028,0.090909091,3,-0.25,0.147677204,187,1.391191923,186,0.048533125,187,0.120666287,187,0.104447894,187
233.77,5670570,187.07661,187.076453,-0.156,-0.836,C12 H11 O2,12,11,0,2,0,12,1,0.166666667,26,5,0,0.836,1.12646E+11,5.03397E-05,387.3204028,0.545454545,7,-0.666666667,0.132438239,187,1.376054375,186,0.033286074,187,0.135927137,187,0.119707421,187
12.91,27859642,187.097744,187.097583,-0.162,-0.864,C9 H15 O4,9,15,0,4,0,16,1.777777778,0.444444444,20,-2,0,0.864,1.12646E+11,0.00024732,387.3204028,0,2,-0.888888889,0.111331833,187,1.355088433,186,0.012168469,187,0.157063854,187,0.140842307,187
275.06,4294356,187.134109,187.133968,-0.141,-0.754,C10 H19 O3,10,19,0,3,0,20,2,0.3,22,-2,0,0.754,1.12646E+11,3.81226E-05,387.3204028,-0.058823529,1,-1.4,0.07498746,187,1.318985935,186,0.024195188,187,0.193460422,187,0.17723572,187
14.06,40291724,188.071856,188.071702,-0.154,-0.817,C11 H10 N O2,11,10,1,2,0,11,1,0.181818182,25,5,1,0.817,1.12646E+11,0.000357684,387.3204028,0.555555556,7,-0.363636364,0.138300543,188,1.388532731,187,0.038620887,188,0.13149254,188,0.115186536,188
558.46,2128412,188.092794,188.092832,0.038,0.201,C8 H14 N O4,8,14,1,4,0,15,1.875,0.5,19,-2,1,0.201,1.12646E+11,1.88947E-05,387.3204028,-0.2,2,-0.5,0.117194137,188,1.36756679,187,0.017503282,188,0.152629257,188,0.136321421,188
-1000,4576680,188.108201,188.108088,-0.113,-0.602,C12 H14 N O,12,14,1,1,0,15,1.25,0.083333333,27,5,1,0.602,1.12646E+11,4.06289E-05,387.3204028,0.428571429,6,-0.833333333,0.101955172,188,1.352429241,187,0.002256231,188,0.167890108,188,0.151580948,188
499.17,2537581,189.055814,189.055718,-0.097,-0.512,C11 H9 O3,11,9,0,3,0,10,0.909090909,0.272727273,24,4,0,0.512,1.12646E+11,2.2527E-05,387.3204028,0.578947368,7,-0.363636364,0.155383304,189,1.412156872,188,0.055182111,189,0.115821372,189,0.099430052,189
380.84,2733181,189.076976,189.076847,-0.129,-0.681,C8 H13 O5,8,13,0,5,0,14,1.75,0.625,18,-3,0,0.681,1.12646E+11,2.42634E-05,387.3204028,-0.090909091,2,-0.5,0.134277896,189,1.391191923,188,0.034065505,189,0.136957089,189,0.120563938,189
-1000,4233353,189.092236,189.092103,-0.133,-0.703,C12 H13 O2,12,13,0,2,0,14,1.166666667,0.166666667,26,4,0,0.703,1.12646E+11,3.7581E-05,387.3204028,0.454545455,6,-0.833333333,0.119038931,189,1.376054375,188,0.018818455,189,0.152217939,189,0.135823465,189
115.8,6084775,189.131776,189.13186,0.084,0.445,C10 H21 O S,10,21,0,1,1,22,2.2,0.1,22,-1,1,0.445,1.12646E+11,5.40168E-05,387.3204028,-0.176470588,0,-1.8,0.079326325,189,1.336606058,188,0.020915224,189,0.191987579,189,0.175589657,189
-1000,2612600,190.087526,190.087352,-0.174,-0.917,C11 H12 N O2,11,12,1,2,0,13,1.181818182,0.181818182,25,4,1,0.917,1.12646E+11,2.3193E-05,387.3204028,0.444444444,6,-0.545454545,0.124901235,190,1.388532731,189,0.024153268,190,0.147783342,190,0.131302579,190
-1000,2433598,191.01989,191.019726,-0.163,-0.855,C6 H7 O7,6,7,0,7,0,8,1.333333333,1.166666667,14,-4,0,0.855,1.12646E+11,2.16039E-05,387.3204028,-0.2,3,1,0.193568333,191,1.463397911,190,0.092326199,191,0.080453757,191,0.063892156,191
-1000,4274789,191.071514,191.071368,-0.146,-0.766,C11 H11 O3,11,11,0,3,0,12,1.090909091,0.272727273,24,3,0,0.766,1.12646E+11,3.79489E-05,387.3204028,0.473684211,6,-0.545454545,0.141983996,191,1.412156872,190,0.040714492,191,0.132112174,191,0.115546096,191
-1000,7264897,191.1079,191.107753,-0.147,-0.769,C12 H15 O2,12,15,0,2,0,16,1.333333333,0.166666667,26,3,0,0.769,1.12646E+11,6.44931E-05,387.3204028,0.363636364,5,-1,0.105639624,191,1.376054375,190,0.004350835,191,0.168508742,191,0.151939509,191
83.38,17840508,192.103139,192.103002,-0.137,-0.711,C11 H14 N O2,11,14,1,2,0,15,1.363636364,0.181818182,25,3,1,0.711,1.12646E+11,0.000158377,387.3204028,0.333333333,5,-0.727272727,0.111501928,192,1.388532731,191,0.009685648,192,0.164074145,192,0.147418623,192
-1000,4148312,193.050784,193.050632,-0.152,-0.788,C10 H9 O4,10,9,0,4,0,10,1,0.4,22,2,0,0.788,1.12646E+11,3.68261E-05,387.3204028,0.5,6,-0.2,0.16493006,193,1.448260363,192,0.062611528,193,0.112005409,193,0.095267727,193
